name of image,area,perimeter,aspect_ratio,equi_diameter,extent,convex_area,solidity,majoraxis_length,minoraxis_length,eccentricity,Species
1,28067,1033.175748,0.296954315,189.0397162,0.608855048,30872,0.909140969,370.6322327,101.6082916,0.961687355,1
1.01,28475,1037.175749,0.297229219,190.4087604,0.607842719,31155.5,0.913963827,371.8061523,102.196167,0.961483084,1
1.02,28220.5,1029.962545,0.298734177,189.5559458,0.605460202,31085.5,0.907834843,368.8029175,103.1802216,0.960066872,1
1.03,28098,1071.376758,0.296482412,189.1440846,0.59828805,31032.5,0.905437847,373.3155518,102.3951797,0.961648201,1
1.04,28459,1013.577769,0.302798982,190.3552579,0.60852738,31201,0.912118201,364.5134277,103.5535049,0.958798524,1
1.05,27399.5,1253.584908,0.304909561,186.7782827,0.59999781,31004,0.883740808,369.7863159,103.5679321,0.959978098,1
1.06,28691.5,1012.364565,0.298245614,191.1312439,0.604273288,31393,0.913945784,376.5070496,101.5992279,0.962903264,1
1.07,28483,1021.518893,0.302267003,190.435506,0.597879933,31098.5,0.915896265,366.4892578,103.8872223,0.958982305,1
1.08,28373,1144.832601,0.298245614,190.0674238,0.597565342,32297,0.878502647,386.0638733,102.8282318,0.963876296,1
1.09,28619,1080.548331,0.2925,190.8896082,0.611517094,31920.5,0.896571169,377.7306213,104.3365479,0.96109459,1
1.1,27860.5,1073.276252,0.299748111,188.3430124,0.589727579,31033.5,0.897755651,369.3081055,101.9001617,0.961180084,1
1.11,28027.5,1081.761534,0.30075188,188.9066472,0.585369674,30961.5,0.905237149,368.4945068,102.2698593,0.960715734,1
1.12,28589.5,1040.246815,0.301265823,190.7911999,0.60822253,31380.5,0.911059416,370.8890076,102.9677048,0.9606898,1
1.13,28273,1063.033612,0.295739348,189.732184,0.600505501,31295,0.903435054,376.7457581,103.9496994,0.96118212,1
1.14,28603,1031.719904,0.298994975,190.8362405,0.603922976,31282,0.914359696,379.225769,102.7898788,0.962564724,1
1.15,28378.5,1069.134117,0.301265823,190.0858449,0.603733645,31700,0.89522082,371.107605,103.8234558,0.960068089,1
1.16,28622.5,1060.10468,0.3,190.9012804,0.596302083,31580.5,0.906334605,369.8333435,104.2665558,0.959435421,1
1.17,26175.5,967.1929934,0.305851064,182.5587076,0.605353839,28549.5,0.916846179,350.2678528,98.78132629,0.959409544,1
1.18,27199.5,1210.815357,0.298543689,186.0953492,0.536733365,35643.5,0.763098461,410.4301758,104.5247955,0.967027672,1
1.19,26833.5,984.0214195,0.307086614,184.8390471,0.601958409,29438,0.911525919,358.8588562,100.5808945,0.959918343,1
1.2,28051.5,1035.134118,0.299492386,188.9875104,0.603361869,30867,0.908786082,367.2056885,102.0981445,0.96056928,1
1.21,28206,1028.06305,0.299748111,189.5072415,0.597040831,31187.5,0.904400802,367.4608459,103.9094772,0.959185678,1
1.22,28312.5,1026.79097,0.302798982,189.8646745,0.60539483,31132.5,0.909419417,371.2666016,102.8524857,0.960860882,1
1.23,28262.5,1130.874232,0.311053985,189.6969495,0.600448278,31362,0.901170206,376.1808472,104.4668655,0.960666736,1
1.24,28331,1021.234622,0.303030303,189.9266952,0.596191077,31115.5,0.910510839,367.1770325,103.9182434,0.959114169,1
1.25,28282,1147.317883,0.30075188,189.7623798,0.590685046,31781,0.889902772,380.7721252,103.6761551,0.96221842,1
1.26,28508.5,1015.962544,0.307106599,190.5207326,0.597988421,31102,0.91661308,369.9892883,104.0943832,0.959606886,1
1.27,28071.5,1163.702658,0.29925187,189.05487,0.583364505,31356,0.895251308,380.1873474,103.0409546,0.962571806,1
1.28,28345.5,1067.276252,0.313984169,189.9752919,0.62848939,31121,0.910815848,369.9251099,103.9302521,0.959722571,1
1.29,27839.5,1099.418388,0.300254453,188.2720168,0.600325613,31204,0.892177285,368.526062,101.0287933,0.961688975,1
2,11703.5,629.3696188,0.567010309,122.0711228,0.548430178,13828.5,0.846331851,178.0937805,90.69287872,0.860623218,2
2.01,11409.5,614.3401799,0.567708333,120.5281153,0.545178708,13402,0.85132816,176.4080353,89.56997681,0.861508481,2
2.02,9764.5,448.031525,0.567741935,111.5013342,0.715872434,10323.5,0.945851698,154.1401672,82.0742569,0.846451969,2
2.03,11399,554.0142792,0.53968254,120.4726424,0.591295778,12724.5,0.895830877,174.3835144,88.38230133,0.862047696,2
2.04,10512,525.0437176,0.569767442,115.69051,0.623635501,11763,0.893649579,160.4314117,87.55939484,0.837932008,2
2.05,11701,596.2985501,0.534759358,122.0580842,0.625721925,13242.5,0.883594487,175.8623505,88.95231628,0.862646976,2
2.06,11916,691.6955186,0.586734694,123.1743578,0.52866016,14063.5,0.847299748,180.8516846,93.72138214,0.855245937,2
2.07,12089.5,696.7665857,0.582914573,124.0678422,0.523717727,14349.5,0.842503223,183.5690002,94.25104523,0.858127524,2
2.08,11408.5,570.2569201,0.546961326,120.5228333,0.636670573,12652.5,0.90167951,169.2564697,89.79906464,0.847653477,2
2.09,12013,646.0975399,0.572864322,123.6746807,0.529533633,14081,0.853135431,182.1244965,94.43498993,0.855066179,2
2.1,11882,582.0142795,0.484848485,122.9985052,0.625105219,13119,0.905709277,181.0077057,86.08950043,0.879654984,2
2.11,11852.5,551.1442223,0.528795812,122.8457232,0.614405681,13075,0.906500956,177.0730743,90.22973633,0.860433853,2
2.12,10693.5,560.2569207,0.574712644,116.6849908,0.614568966,12124,0.882010887,162.0288696,86.92782593,0.84390292,2
2.13,11855,560.0142797,0.489690722,122.8586782,0.64324471,12869,0.921205999,180.2654724,86.44233704,0.877526593,2
2.14,10564,529.8721441,0.587209302,115.9763017,0.608104997,11853,0.89125116,165.0940247,86.1397934,0.853091076,2
2.15,11374,598.2985504,0.529100529,120.3404611,0.601798942,12758,0.891519047,171.3005676,87.87313843,0.858402745,2
2.16,10571.5,507.0020874,0.595238095,116.0174635,0.629255952,11626,0.909298125,161.8062439,86.64859009,0.844529951,2
2.17,11481,582.7838316,0.571428571,120.9051827,0.562463257,13322.5,0.861775192,172.9746399,90.17147827,0.8533742,2
2.18,11449,567.4701238,0.528795812,120.7365709,0.593489192,12875,0.889242718,177.0440063,87.1895752,0.87032714,2
2.19,11371.5,598.8843365,0.574468085,120.327235,0.560062057,13397,0.848809435,174.3237915,89.91597748,0.856709838,2
2.2,11414,580.9848417,0.589189189,120.5518816,0.56603025,13255.5,0.861076534,171.3374176,90.6014328,0.848752986,2
2.21,11377.5,561.428493,0.550802139,120.3589752,0.590701417,12906,0.881566713,173.1684418,88.3467865,0.860068643,2
2.22,11483.5,616.3401811,0.564766839,120.9183456,0.54587156,13561,0.846803333,174.2685089,90.85555267,0.853340609,2
2.23,11371,599.6122582,0.588235294,120.3245896,0.552795333,13480,0.843545994,172.3106995,90.84972382,0.849714142,2
2.24,11276,564.0142795,0.540106952,119.8209043,0.597024408,12808,0.880387258,172.2687073,87.70626068,0.860692744,2
2.25,11274.5,565.4284928,0.577540107,119.8129344,0.55825411,12981,0.868538633,171.7021942,89.62491608,0.85295842,2
2.26,12094,648.5828204,0.575757576,124.0909306,0.535796562,14091.5,0.85824788,183.5787201,92.41888428,0.864036493,2
2.27,12090.5,691.4528779,0.570707071,124.0729733,0.540381693,14235,0.849350193,182.7764282,93.97353363,0.857703455,2
2.28,12076,607.1269771,0.580310881,123.9985514,0.558660252,13730.5,0.879501839,180.6184998,92.48972321,0.858942374,2
2.29,11842.5,609.026472,0.597938144,122.7938895,0.52623978,14163.5,0.836128076,178.0757446,94.81512451,0.846466069,2
3,28653.5,1456.354461,0.447089947,191.0046316,0.448537929,41864,0.68444248,366.2145996,147.6054382,0.91517478,3
3.01,28303.5,1298.330075,0.35106383,189.8344949,0.570267166,36711.5,0.770970949,372.8053589,115.810463,0.950525704,3
3.02,28372.5,1271.785919,0.341207349,190.0657491,0.572834646,35568,0.797697368,388.3705444,111.3468018,0.958019667,3
3.03,26465,1075.920915,0.355191257,183.5654776,0.556221101,32870.5,0.805129219,361.1129761,111.0538025,0.951537733,3
3.04,27282.5,1124.447826,0.345844504,186.3790704,0.567003346,33046,0.8255916,372.345459,109.6917419,0.955621676,3
3.05,28225.5,1168.045804,0.342105263,189.5727374,0.571366397,34582,0.816190504,386.4338379,108.9429321,0.959438292,3
3.06,28284.5,1190.874232,0.342105263,189.7707667,0.572560729,34856,0.811467179,381.3356018,112.747139,0.955292054,3
3.07,28202,1144.832602,0.355795148,189.4938037,0.575880095,34134,0.826214332,372.397644,113.934021,0.952048477,3
3.08,28233,1108.406196,0.35026738,189.5979221,0.576254235,33980,0.830871101,368.638092,111.7159576,0.952974499,3
3.09,28515.5,1200.957492,0.361185984,190.5441215,0.57359094,34760.5,0.820342055,379.8803406,112.3455505,0.955268684,3
3.1,28797,1197.401142,0.357526882,191.4823208,0.582039777,35853.5,0.803185184,379.8530884,115.0197296,0.953053943,3
3.11,28892,1101.317883,0.37027027,191.7979065,0.569974354,34534,0.836624776,374.3722534,111.0894241,0.954959802,3
3.12,28862.5,1196.531084,0.343915344,191.6999644,0.587352462,36356,0.793885466,390.5548401,113.5648041,0.956790511,3
3.13,28062,1339.283393,0.357723577,189.0228772,0.576127125,36479.5,0.769253965,375.9723511,113.1316681,0.953654365,3
3.14,28255.5,1253.643784,0.36997319,189.6734561,0.548927614,36686.5,0.770187944,383.0065002,116.1263962,0.95292792,3
3.15,29426,1367.283391,0.371052632,193.5622557,0.549197462,38048,0.773391505,392.7190857,119.8101959,0.952327169,3
3.16,28424.5,1272.271201,0.360742706,190.2398419,0.55438641,36199.5,0.785218028,383.249176,116.1095657,0.953002945,3
3.17,28658.5,1206.815356,0.35026738,191.0212959,0.584938972,35795,0.800628579,373.3712769,116.5695496,0.950013727,3
3.18,28973,1327.141257,0.364829396,192.0665753,0.547083593,37332,0.776090218,374.0297852,120.0332031,0.9471067,3
3.19,28904,1220.430581,0.347368421,191.837733,0.576236045,36610,0.789511063,390.5652466,113.9853287,0.956464991,3
3.2,27689,1166.087435,0.361643836,187.762429,0.574699045,33342.5,0.830441629,354.2032776,114.145401,0.94665134,3
3.21,26403.5,1135.560524,0.349593496,183.3520666,0.554683725,31364.5,0.841827544,358.7506409,113.3976364,0.948729073,3
3.22,27646.5,1107.820409,0.345945946,187.6182749,0.583752111,33295,0.830349902,370.859314,111.502449,0.953731486,3
3.23,28172,1359.969685,0.362433862,189.3929895,0.544008033,36322,0.775618083,377.3569336,117.0493774,0.950677151,3
3.24,28615.5,1283.928054,0.346560847,190.8779353,0.577880771,36765,0.778335373,383.9674988,113.1879044,0.955563569,3
3.25,28607.5,1273.643783,0.347480106,190.8512517,0.579251625,36290,0.788302563,382.0324097,114.5939407,0.953952192,3
3.26,28035.5,1054.648836,0.35309973,188.9336054,0.576850271,33323.5,0.841313187,369.7130737,109.1777267,0.955403362,3
3.27,28143.5,1139.560523,0.342931937,189.2971662,0.562397586,34413,0.817815942,371.9726563,110.9024429,0.954520041,3
3.28,27781.5,1104.246815,0.346774194,188.0757943,0.578925981,32992,0.842067774,364.0961304,110.9322205,0.952455292,3
3.29,28033.5,1227.501648,0.340314136,188.9268662,0.564508659,34872,0.803897109,365.0079346,114.7597198,0.949289487,3
4,16086,635.327988,0.516746411,143.1130019,0.712652844,17425.5,0.923129896,212.0729675,98.85682678,0.884708153,4
4.01,18141.5,748.4823165,0.42745098,151.9818252,0.652689333,19993.5,0.907369895,241.2327423,99.4116745,0.911139258,4
4.02,15553.5,1328.437721,0.432,140.7243094,0.576055556,19688,0.789998984,232.2339935,97.87071991,0.906860238,4
4.03,17889.5,789.7371492,0.433070866,150.9225591,0.640282749,20183.5,0.886342805,243.3305054,99.23049164,0.913070707,4
4.04,17931.5,765.7960242,0.42745098,151.0996191,0.645134017,19665,0.911848462,238.7345734,98.91602325,0.910124573,4
4.05,17941,776.1808002,0.432539683,151.1396396,0.653160041,19867.5,0.903032591,241.7146912,98.55270386,0.913105545,4
4.06,18246,799.3523731,0.429133858,152.4189251,0.659033447,20353.5,0.896455155,245.3406067,99.32720947,0.914381191,4
4.07,18185,763.5533844,0.423529412,152.1639284,0.660312273,19894.5,0.914071728,241.6500549,98.99212646,0.912242436,4
4.08,18130,756.7249563,0.443089431,151.9336465,0.67613933,19755,0.917742344,242.6403656,99.0278244,0.912925641,4
4.09,17910.5,808.5655746,0.428571429,151.011115,0.658087155,19978.5,0.896488725,240.133728,98.44208527,0.912109375,4
4.1,17839.5,800.5655767,0.436507937,150.7115021,0.643560606,19674.5,0.906732064,236.5621796,99.79634094,0.906660552,4
4.11,17725,763.5533834,0.446721311,150.2270646,0.666453602,19327.5,0.917087052,233.3879852,100.0124664,0.903530168,4
4.12,18133,761.8965294,0.436507937,151.9462164,0.654148629,19977,0.907693848,241.4524994,98.9444809,0.912180523,4
4.13,18153,784.867092,0.431372549,152.0299887,0.647165775,20046.5,0.905544609,241.271347,99.35228729,0.911280344,4
4.14,18326.5,823.5361381,0.429133858,152.7547856,0.661941053,20273.5,0.903963302,247.1598663,98.73821259,0.916736992,4
4.15,17825.5,775.5950136,0.420634921,150.6523531,0.667321803,19687,0.905445218,243.5727081,97.85290527,0.915753763,4
4.16,18161,791.4945077,0.43083004,152.0634847,0.658556043,20020,0.907142857,241.2702026,98.57466888,0.912729025,4
4.17,18187,801.6955189,0.431372549,152.1722958,0.648377897,20278.5,0.896861208,247.2726746,98.59506226,0.917068315,4
4.18,18148.5,870.9919817,0.42745098,152.0111439,0.652941176,20405,0.889414359,249.6470032,98.57745361,0.918738138,4
4.19,18613,779.210238,0.428015564,153.9441705,0.658401132,20645,0.901574231,249.0691376,99.25167084,0.917172485,4
4.2,17871.5,835.7371498,0.43083004,150.8466126,0.648058164,20170.5,0.886021665,242.1450043,98.61206818,0.913319458,4
4.21,18008,816.1808001,0.42519685,151.4215894,0.656459609,20109.5,0.895497153,244.7238159,98.01197815,0.916296598,4
4.22,17979,778.3229358,0.43083004,151.2996159,0.65195634,19790.5,0.908466183,242.1956482,98.1735611,0.914162385,4
4.23,18039,852.9503525,0.421259843,151.5518662,0.663735374,20156,0.89496924,245.1875763,97.93492889,0.916764309,4
4.24,17982.5,799.7371489,0.423529412,151.3143421,0.652959332,19988,0.899664799,243.0237122,98.19308472,0.914738075,4
4.25,17986,811.4945083,0.41796875,151.3290668,0.65661507,20027.5,0.89806516,244.8172913,98.34658813,0.91576508,4
4.26,17577,799.0092273,0.422310757,149.5985678,0.660640457,19536.5,0.89970056,239.508194,97.53096008,0.913333016,4
4.27,18005,835.6366436,0.42519685,151.408976,0.656350248,20168.5,0.89272876,243.7512665,97.89831543,0.915801132,4
4.28,17898,804.6660815,0.42519685,150.9584094,0.652449694,19750.5,0.906204906,242.5069275,98.14615631,0.914442937,4
4.29,17781.5,791.9381602,0.42687747,150.4663051,0.650764895,19897,0.893677439,244.1386719,97.99211121,0.915912103,4
5,30050.5,1046.673221,0.385714286,195.6054318,0.635989418,34355,0.874705283,342.9728699,118.702179,0.938198415,5
5.01,30311,1089.543278,0.371830986,196.4514287,0.646841656,35086.5,0.86389352,346.8730469,117.6578903,0.940715786,5
5.02,29808.5,1094.957492,0.411428571,194.8162236,0.591438492,35935.5,0.829500077,343.1964722,121.5798492,0.935147998,5
5.03,30272.5,1048.673221,0.362606232,196.3266261,0.669982737,33679.5,0.898840541,346.2425842,116.3840103,0.941814063,5
5.04,29470.5,968.6488357,0.364431487,193.7085594,0.687358601,32503,0.90670092,338.8461609,114.9863358,0.940661362,5
5.05,29663,992.8326012,0.361031519,194.3401776,0.674557693,32879.5,0.902173087,340.0072937,115.2446289,0.940805282,5
5.06,29642,989.6610289,0.363372093,194.2713736,0.689348837,32916,0.900534694,342.831543,115.0504456,0.942008556,5
5.07,30032.5,1070.614346,0.362606232,195.54684,0.664671123,34241.5,0.877078983,345.8665161,116.2212372,0.94185158,5
5.08,29582.5,992.2468151,0.355113636,194.0762964,0.672329545,32732.5,0.903765371,340.4606323,114.9709625,0.941256529,5
5.09,29903.5,1068.330076,0.369627507,195.1264173,0.664212257,34171.5,0.875100596,339.6582336,117.7460022,0.937990769,5
5.1,29905.5,971.418388,0.387283237,195.1329424,0.645015529,33438.5,0.894343347,336.6705322,118.613739,0.935881858,5
5.11,30096,1034.430581,0.364942529,195.7534606,0.680966603,33916.5,0.887355712,342.8321228,116.5128937,0.940478181,5
5.12,29999,1005.661029,0.383954155,195.4377474,0.641470299,33898.5,0.884965411,337.7704163,119.2281189,0.935628726,5
5.13,30415,985.2346226,0.355742297,196.7881621,0.670835263,33651,0.903836439,340.2770996,118.3475342,0.937569666,5
